행정기관명,동명,연령,성별구분,인구수
부산광역시 해운대구,반송제1동,60세 - 69세,남,1370
부산광역시 해운대구,반송제1동,60세 - 69세,여,1447
부산광역시 해운대구,반송제1동,70세 - 79세,남,843
부산광역시 해운대구,반송제1동,70세 - 79세,여,1158
부산광역시 해운대구,반송제1동,80세 - 89세,남,379
부산광역시 해운대구,반송제1동,80세 - 89세,여,658
부산광역시 해운대구,반송제1동,90세 - 99세,남,15
부산광역시 해운대구,반송제1동,90세 - 99세,여,88
부산광역시 해운대구,반송제1동,100세 - 109세,남,0
부산광역시 해운대구,반송제1동,100세 - 109세,여,0
부산광역시 해운대구,반송제1동,110세 이상,남,0
부산광역시 해운대구,반송제1동,110세 이상,여,0
부산광역시 해운대구,반송제2동,0세 - 9세,남,361
부산광역시 해운대구,반송제2동,0세 - 9세,여,324
부산광역시 해운대구,반송제2동,10세 - 19세,남,667
부산광역시 해운대구,반송제2동,10세 - 19세,여,586
부산광역시 해운대구,반송제2동,20세 - 29세,남,1091
부산광역시 해운대구,반송제2동,20세 - 29세,여,825
부산광역시 해운대구,반송제2동,30세 - 39세,남,927
부산광역시 해운대구,반송제2동,30세 - 39세,여,765
부산광역시 해운대구,반송제2동,40세 - 49세,남,1503
부산광역시 해운대구,반송제2동,40세 - 49세,여,1182
부산광역시 해운대구,반송제2동,50세 - 59세,남,1851
부산광역시 해운대구,반송제2동,50세 - 59세,여,1893
부산광역시 해운대구,반송제2동,60세 - 69세,남,2434
부산광역시 해운대구,반송제2동,60세 - 69세,여,2638
부산광역시 해운대구,반송제2동,70세 - 79세,남,1397
부산광역시 해운대구,반송제2동,70세 - 79세,여,1937
부산광역시 해운대구,반송제2동,80세 - 89세,남,474
부산광역시 해운대구,반송제2동,80세 - 89세,여,1035
부산광역시 해운대구,반송제2동,90세 - 99세,남,34
부산광역시 해운대구,반송제2동,90세 - 99세,여,156
부산광역시 해운대구,반송제2동,100세 - 109세,남,1
부산광역시 해운대구,반송제2동,100세 - 109세,여,5
부산광역시 해운대구,반송제2동,110세 이상,남,0
부산광역시 해운대구,반송제2동,110세 이상,여,0
부산광역시 해운대구,재송제1동,0세 - 9세,남,1694
부산광역시 해운대구,재송제1동,0세 - 9세,여,1601
부산광역시 해운대구,재송제1동,10세 - 19세,남,2575
부산광역시 해운대구,재송제1동,10세 - 19세,여,2388
부산광역시 해운대구,재송제1동,20세 - 29세,남,2009
부산광역시 해운대구,재송제1동,20세 - 29세,여,1770
부산광역시 해운대구,재송제1동,30세 - 39세,남,1854
부산광역시 해운대구,재송제1동,30세 - 39세,여,2040
부산광역시 해운대구,재송제1동,40세 - 49세,남,3501
부산광역시 해운대구,재송제1동,40세 - 49세,여,3996
부산광역시 해운대구,재송제1동,50세 - 59세,남,2860
부산광역시 해운대구,재송제1동,50세 - 59세,여,2832
부산광역시 해운대구,재송제1동,60세 - 69세,남,2097
부산광역시 해운대구,재송제1동,60세 - 69세,여,2379
부산광역시 해운대구,재송제1동,70세 - 79세,남,1091
부산광역시 해운대구,재송제1동,70세 - 79세,여,1188
부산광역시 해운대구,재송제1동,80세 - 89세,남,318
부산광역시 해운대구,재송제1동,80세 - 89세,여,471
부산광역시 해운대구,재송제1동,90세 - 99세,남,20
부산광역시 해운대구,재송제1동,90세 - 99세,여,85
부산광역시 해운대구,재송제1동,100세 - 109세,남,1
부산광역시 해운대구,재송제1동,100세 - 109세,여,2
부산광역시 해운대구,재송제1동,110세 이상,남,0
부산광역시 해운대구,재송제1동,110세 이상,여,0
부산광역시 해운대구,재송제2동,0세 - 9세,남,475
부산광역시 해운대구,재송제2동,0세 - 9세,여,450
부산광역시 해운대구,재송제2동,10세 - 19세,남,932
부산광역시 해운대구,재송제2동,10세 - 19세,여,911
부산광역시 해운대구,재송제2동,20세 - 29세,남,1458
부산광역시 해운대구,재송제2동,20세 - 29세,여,1201
부산광역시 해운대구,재송제2동,30세 - 39세,남,1378
부산광역시 해운대구,재송제2동,30세 - 39세,여,1176
부산광역시 해운대구,재송제2동,40세 - 49세,남,1747
부산광역시 해운대구,재송제2동,40세 - 49세,여,1675
부산광역시 해운대구,재송제2동,50세 - 59세,남,1885
부산광역시 해운대구,재송제2동,50세 - 59세,여,2320
부산광역시 해운대구,재송제2동,60세 - 69세,남,2096
부산광역시 해운대구,재송제2동,60세 - 69세,여,2477
부산광역시 해운대구,재송제2동,70세 - 79세,남,1042
부산광역시 해운대구,재송제2동,70세 - 79세,여,1153
부산광역시 해운대구,재송제2동,80세 - 89세,남,254
부산광역시 해운대구,재송제2동,80세 - 89세,여,577
부산광역시 해운대구,재송제2동,90세 - 99세,남,21
부산광역시 해운대구,재송제2동,90세 - 99세,여,91
부산광역시 해운대구,재송제2동,100세 - 109세,남,1
부산광역시 해운대구,재송제2동,100세 - 109세,여,2
부산광역시 해운대구,재송제2동,110세 이상,남,0
부산광역시 해운대구,재송제2동,110세 이상,여,0
